key,value
step,STEP_62_RESEARCH_DECISION_BUILDER
status,RESEARCH_DECISION_CREATED
decision_type,CONDITIONAL_WATCH
decision_source,dynamic_setup_generator
timestamp_utc,2026-06-23T02:11:51.670160+00:00
started_at_utc,2026-06-23T02:11:51.642882+00:00
finished_at_utc,2026-06-23T02:11:51.670172+00:00
symbol,BTCUSDT
current_price,64025.6
trading_bias,bearish
confidence,high
kb_lint_status,PASSED
source_report,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\knowledge_base\wiki\report\daily\latest.md
active_scenario,overheated_long_reversal
conditional_setup.symbol,BTCUSDT
conditional_setup.setup_type,overheated_long_reversal
conditional_setup.direction,short
conditional_setup.trigger_price,63833.52
conditional_setup.invalidation_price,64537.8
conditional_setup.take_profit,63065.22
conditional_setup.expires_after_hours,24
conditional_setup.confidence,high
conditional_setup.score,5.5
conditional_setup.source,dynamic_setup_generator
conditional_setup.created_at_utc,2026-06-23T02:11:51.553364+00:00
conditional_setup.base_price,64025.6
conditional_setup.rules.long_trigger_pct,0.003
conditional_setup.rules.long_invalidation_pct,0.008
conditional_setup.rules.long_take_profit_pct,0.015
conditional_setup.rules.short_trigger_pct,0.003
conditional_setup.rules.short_invalidation_pct,0.008
conditional_setup.rules.short_take_profit_pct,0.015
conditional_setup.signals.price.signal,mild_down
conditional_setup.signals.price.change_lookback_pct,-0.579514
conditional_setup.signals.price.current,64025.6
conditional_setup.signals.open_interest.signal,rising
conditional_setup.signals.open_interest.value,6388249100.592
conditional_setup.signals.open_interest.change_lookback_pct,0.36047
conditional_setup.signals.funding_rate.signal,overheated_positive
conditional_setup.signals.funding_rate.value,0.004041
conditional_setup.signals.funding_rate.predicted_value,0.001983
conditional_setup.signals.long_short_ratio.signal,long_crowded
conditional_setup.signals.long_short_ratio.value,1.784
conditional_setup.signals.long_short_ratio.long,64.08
conditional_setup.signals.long_short_ratio.short,35.92
conditional_setup.signals.liquidation.signal,short_liquidation_dominant
conditional_setup.signals.liquidation.dominant_side,short_liquidation_dominant
conditional_setup.signals.liquidation.long_liquidation,23871765.2294
conditional_setup.signals.liquidation.short_liquidation,35658562.5543
conditional_setup.signals.liquidation.total_liquidation,59530327.7837
risk_notes,"[""Decision source: dynamic_setup_generator."", ""This is a conditional watch, not a market order."", ""Order execution remains disabled unless explicitly enabled in a separate manual test mode."", ""Funding signal: overheated_positive."", ""Long/Short signal: long_crowded."", ""Open Interest signal: rising.""]"
evidence.decision_source,dynamic_setup_generator
evidence.entities,"[""BTC""]"
evidence.concepts,"[""open_interest"", ""funding_rate"", ""long_short_ratio"", ""liquidation"", ""price_action""]"
evidence.sources,"[""coinalyze"", ""market_snapshot""]"
evidence.scenarios,"[""overheated_long_reversal""]"
dynamic_setup_summary.status,DYNAMIC_SETUP_CREATED
dynamic_setup_summary.decision_type,CONDITIONAL_WATCH
dynamic_setup_summary.direction,short
dynamic_setup_summary.setup_type,overheated_long_reversal
dynamic_setup_summary.confidence,high
dynamic_setup_summary.long_score,-2.0
dynamic_setup_summary.short_score,5.5
dynamic_setup_summary.selected_score,5.5
dynamic_setup_summary.reason,
market_snapshot_summary.status,MARKET_SNAPSHOT_CREATED
market_snapshot_summary.symbol,BTCUSDT
market_snapshot_summary.provider,coinalyze
market_snapshot_summary.current_price,64025.6
market_snapshot_summary.timestamp_utc,2026-06-23T02:11:50.810672+00:00
market_snapshot_summary.data_quality.has_price,True
market_snapshot_summary.data_quality.has_open_interest,True
market_snapshot_summary.data_quality.has_funding,True
market_snapshot_summary.data_quality.has_long_short_ratio,True
market_snapshot_summary.data_quality.has_liquidation,True
safety.order_execution,False
safety.paper_watch_created,False
safety.live_trading_enabled,False
files.market_context,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\storage\market_context.json
files.market_snapshot,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\storage\market_snapshot.json
files.dynamic_setup_result,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\storage\dynamic_setup_result.json
files.kb_lint_result,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\knowledge_base\lint\kb_lint_result.json
files.latest_daily_report,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\knowledge_base\wiki\report\daily\latest.md
files.research_decision,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\storage\research_decision.json
files.research_decision_log,C:\Users\thomas\Desktop\코딩공부\crypto_AI_Agent\crypto_ai_system\storage\research_decision_log.json
